Category,x
HP:0000473,70
HP:0000474,55
HP:0000475,26
HP:0000476,48
HP:0000478,2879
HP:0000479,885
HP:0000480,40
HP:0000481,670
HP:0000482,130
HP:0000483,176
HP:0000484,6
HP:0000485,48
HP:0000486,1068
HP:0000488,120
HP:0000490,232
HP:0000491,77
HP:0000492,1265
HP:0000493,50
HP:0000494,464
HP:0000495,14
HP:0000496,1699
HP:0000498,50
HP:0000499,270
HP:0000501,349
HP:0000502,155
HP:0000503,3
HP:0000504,1247
HP:0000505,1041
HP:0000506,151
HP:0000508,700
HP:0000509,106
HP:0000510,205
HP:0000511,29
HP:0000512,191
HP:0000514,34
HP:0000517,758
HP:0000518,742
HP:0000519,128
HP:0000520,257
HP:0000522,16
HP:0000523,40
HP:0000524,22
HP:0000525,419
HP:0000526,45
HP:0000527,122
HP:0000528,69
HP:0000529,98
HP:0000531,3
HP:0000532,151
HP:0000533,38
HP:0000534,611
HP:0000537,15
HP:0000538,3
HP:0000539,615
HP:0000540,252
HP:0000541,104
HP:0000542,2
HP:0000543,167
HP:0000544,53
HP:0000545,403
HP:0000546,232
HP:0000548,28
HP:0000549,1108
HP:0000550,28
HP:0000551,106
HP:0000552,6
HP:0000553,543
HP:0000554,50
HP:0000555,7
HP:0000556,322
HP:0000557,25
HP:0000558,13
HP:0000559,18
HP:0000561,32
HP:0000563,109
HP:0000564,5
HP:0000565,173
HP:0000567,46
HP:0000568,262
HP:0000570,91
HP:0000571,14
HP:0000572,226
HP:0000573,28
HP:0000574,138
HP:0000575,69
HP:0000576,2
HP:0000577,88
HP:0000579,32
HP:0000580,173
HP:0000581,130
HP:0000582,283
HP:0000585,17
HP:0000586,29
HP:0000587,801
HP:0000588,25
HP:0000589,230
HP:0000590,21
HP:0000591,123
HP:0000592,95
HP:0000593,54
HP:0000594,14
HP:0000597,281
HP:0000598,2233
HP:0000599,195
HP:0000600,223
HP:0000601,119
HP:0000602,247
HP:0000603,35
HP:0000605,54
HP:0000606,250
HP:0000607,5
HP:0000608,91
HP:0000609,82
HP:0000610,185
HP:0000612,165
HP:0000613,242
HP:0000614,68
HP:0000615,65
HP:0000616,15
HP:0000617,71
HP:0000618,280
HP:0000619,1
HP:0000620,10
HP:0000621,22
HP:0000622,31
HP:0000623,4
HP:0000625,33
HP:0000627,56
HP:0000629,40
HP:0000630,55
HP:0000631,2
HP:0000632,79
HP:0000633,26
HP:0000634,5
HP:0000635,39
HP:0000636,9
HP:0000637,56
HP:0000639,1032
HP:0000640,53
HP:0000641,16
HP:0000642,4
HP:0000643,35
HP:0000646,106
HP:0000647,47
HP:0000648,576
HP:0000649,62
HP:0000650,1
HP:0000651,88
HP:0000652,10
HP:0000653,70
HP:0000654,18
HP:0000656,62
HP:0000657,102
HP:0000658,5
HP:0000659,23
HP:0000660,3
HP:0000661,2
HP:0000662,187
HP:0000664,172
HP:0000666,96
HP:0000667,16
HP:0000668,202
HP:0000670,160
HP:0000674,19
HP:0000675,11
HP:0000676,106
HP:0000677,58
HP:0000678,109
HP:0000679,46
HP:0000680,17
HP:0000682,211
HP:0000683,2
HP:0000684,175
HP:0000685,116
HP:0000687,117
HP:0000689,147
HP:0000690,17
HP:0000691,145
HP:0000692,375
HP:0000694,1
HP:0000695,33
HP:0000696,34
HP:0000698,55
HP:0000699,27
HP:0000700,1
HP:0000703,12
HP:0000704,37
HP:0000705,33
HP:0000706,18
HP:0000707,3731
HP:0000708,1830
HP:0000709,125
HP:0000710,13
HP:0000711,134
HP:0000712,180
HP:0000713,110
HP:0000716,351
HP:0000717,207
HP:0000718,274
HP:0000719,62
HP:0000721,4
HP:0000722,134
HP:0000723,17
HP:0000725,24
HP:0000726,173
HP:0000727,19
HP:0000728,3
HP:0000729,538
HP:0000732,6
HP:0000733,220
HP:0000734,160
HP:0000735,63
HP:0000736,418
HP:0000737,251
HP:0000738,151
HP:0000739,399
HP:0000740,17
HP:0000741,78
HP:0000742,44
HP:0000743,4
HP:0000744,17
HP:0000745,83
HP:0000746,59
HP:0000748,31
HP:0000749,10
HP:0000750,978
HP:0000751,39
HP:0000752,496
HP:0000756,3
HP:0000757,10
HP:0000758,106
HP:0000759,539
HP:0000762,109
HP:0000763,90
HP:0000764,190
HP:0000765,848
HP:0000766,442
HP:0000767,293
HP:0000768,166
HP:0000769,437
HP:0000771,102
HP:0000772,306
HP:0000773,68
HP:0000774,117
HP:0000775,115
HP:0000776,93
HP:0000777,49
HP:0000778,32
HP:0000782,162
HP:0000786,120
HP:0000787,148
HP:0000789,214
HP:0000790,156
HP:0000791,4
HP:0000793,9
HP:0000794,4
HP:0000795,437
HP:0000796,67
HP:0000798,49
HP:0000799,11
HP:0000800,7
HP:0000802,57
HP:0000803,17
HP:0000804,4
HP:0000805,27
HP:0000807,7
HP:0000808,10
HP:0000811,1149
HP:0000812,494
HP:0000813,50
HP:0000815,66
HP:0000816,9
HP:0000817,100
HP:0000818,1318
HP:0000819,421
HP:0000820,467
HP:0000821,333
HP:0000822,356
HP:0000823,188
HP:0000824,131
HP:0000825,29
HP:0000826,157
HP:0000828,73
HP:0000829,30
HP:0000830,174
HP:0000831,40
HP:0000832,5
HP:0000834,220
HP:0000835,29
HP:0000836,36
HP:0000837,74
HP:0000839,10
HP:0000840,5
HP:0000841,8
HP:0000842,144
HP:0000843,29
